shortcode;id;text;created_at
CQoSzVNraaH;17843496044618933;@yukselenpromosyonteks;1624827748
CQoSzVNraaH;18228311437067579;@yukselenpromosyonteks;1624827755
CQoSzVNraaH;17932745692540311;❤️;1624828083
CQoSzVNraaH;17901552839026478;Just don’t buy Canada Goose apparel! There are plenty other companies to buy from who have been all the good things right from the very start, Patagonia for one.;1624828407
CQoSzVNraaH;17858925911578239;Finally!;1624830243
CQoSzVNraaH;17859430262523278;🙌;1624830672
CQoSzVNraaH;18136851664172765;Are they not using feathers either? Hopefully;1624830687
CQoSzVNraaH;17871851792446119;curious to know how much fast-fashion is in the closets of those lamenting a company for using synthetic materials in their overpriced jackets, instead of animal fur...🧐;1624830946
CQoSzVNraaH;17883317870346003;👏👏👏👏👏👏👏👏;1624832104
CQoSzVNraaH;18018311092308988;Fox fur on their coats is absolutely vile it’s about time this was stopped;1624832253
CQoSzVNraaH;17888388224182425;👏👏👏;1624833518
CQoSzVNraaH;17895931880142453;About time;1624833816
CQoSzVNraaH;18079123951281919;@alyssalisanti WOW. LITTLE LATE BUT WE’LL TAKE IT;1624834829
CQoSzVNraaH;18158076796092856;@c__c__c yesss the day you were waiting for lol!!;1624835172
CQoSzVNraaH;17859456161523368;❤️🙌👏;1624835734
CQoSzVNraaH;17860055042558715;@fillipe_jose;1624836057
CQoSzVNraaH;17957019664429439;@scarelli_pot Eles colocavam pra fude com os animais e valores absurdos dos casacos.;1624836303
CQoSzVNraaH;18132011230201923;@ramyaammutrefonas not rlly… releasing micro plastics hurts a lot of animals so this would also be killing innocent animals;1624836551
CQoSzVNraaH;17883410000271383;In that case we shouldn’t be using anything kind of fur real or fake;1624836590
CQoSzVNraaH;17878618280421868;the fur is what’s kept me from buying one. Good move for this company!;1624836651
CQoSzVNraaH;17945734225498745;👎🏼;1624837615
CQoSzVNraaH;17911618165877244;Yes!!!!;1624840999
CQoSzVNraaH;17882308328475338;If it’s made of plastics how is this better?;1624841440
CQoSzVNraaH;17987481703367491;🔥;1624841496
CQoSzVNraaH;18173724307125902;Finally;1624843162
CQoSzVNraaH;17920725073655587;Jesus finally.;1624844753
CQoSzVNraaH;17927818822623043;About time now how about the down feathers 🪶?! @canadagoose;1624846311
CQoSzVNraaH;17879239526420074;FINALLY;1624847883
CQoSzVNraaH;17882682821343779;👏👏;1624855546
CQoSzVNraaH;17888831300162979;@1point5degrees go fuck yourself. You wouldn’t give me that attitude to my face;1624855835
CQoSzVNraaH;18095109241255150;👏👏👏;1624856626
CQoSzVNraaH;18236850907015272;better late than never;1624859227
CQoSzVNraaH;17914864576836497;@williamjordann: @muzicmiztress is just pointing out that it still wouldn’t be sustainable if that is what the company is going for…given that other living beings would still be harmed because it would still contain down. you had an opportunity to understand ones viewpoint, and you chose to be one-sided and not open-minded. that’s all.;1624861743
CQoSzVNraaH;17901170651026232;@williamjordann OK, mansplainer. You obviously do not get it. Then try to mansplain what you can'teven perceive. I mean... 😂  Go troll, or mansplain, elsewhere.;1624863226
CQoSzVNraaH;17889618470251810;@xxtoxicbeansxx better to just not use or copy another living being’s fur. Real or fake, its not sustainable.;1624867575
CQoSzVNraaH;18186997156105781;It's an amazing step forward to sustainable and ethical fashion. Next step is to drop feather and other animal skin such as wool, leather and etc...;1624869458
CQoSzVNraaH;17886739235204551;@kourtjohnstone bout time!;1624875133
CQoSzVNraaH;17880042689467084;@muzicmiztress yeah, knowing what fur-free is, is really so sexist of he.;1624878636
CQoSzVNraaH;17920455913693981;👏👏;1624879714
